field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
treatment_method_peds_1,demographics,,dropdown,"Treatment Method for [peds_inj_type]","1, CRPP | 2, ORPP | 3, ORIF | 4, Rigid IMN | 5, Flexible IMN | 6, CR/splint or cast | 7, Ex-Fix | 8, I&D | 9, Other",,,,,,"[peds_inj_type] = '2' or [peds_inj_type] = '3' or [peds_inj_type] = '4' or [peds_inj_type] = '5' or [peds_inj_type] = '6' or [peds_inj_type] = '7' or [peds_inj_type] = '8' or [peds_inj_type] = '9' or [peds_inj_type] = '10' or [peds_inj_type] = '11' or [peds_inj_type] = '12' or [peds_inj_type] = '13' or [peds_inj_type] = '14' or [peds_inj_type] = '15' or [peds_inj_type] = '16' or [peds_inj_type] = '17' or [peds_inj_type] = '18' or [peds_inj_type] = '19' or [peds_inj_type] = '20' or [peds_inj_type] = '21' or [peds_inj_type] = '22' or [peds_inj_type] = '23' or [peds_inj_type] = '24' or [peds_inj_type] = '25' or [peds_inj_type] = '26' or [peds_inj_type] = '27' or [peds_inj_type] = '28' or [peds_inj_type] = '29' or [peds_inj_type] = '30'",,,,,,
treatment_method_peds_2,demographics,,dropdown,"Treatment Method for [peds_inj_type_2]","1, CRPP | 2, ORPP | 3, ORIF | 4, Rigid IMN | 5, Flexible IMN | 6, CR/splint or cast | 7, Ex-Fix | 8, I&D | 9, Other",,,,,,"[peds_inj_type_2] = '2' or [peds_inj_type_2] = '3' or [peds_inj_type_2] = '4' or [peds_inj_type_2] = '5' or [peds_inj_type_2] = '6' or [peds_inj_type_2] = '7' or [peds_inj_type_2] = '8' or [peds_inj_type_2] = '9' or [peds_inj_type_2] = '10' or [peds_inj_type_2] = '11' or [peds_inj_type_2] = '12' or [peds_inj_type_2] = '13' or [peds_inj_type_2] = '14' or [peds_inj_type_2] = '15' or [peds_inj_type_2] = '16' or [peds_inj_type_2] = '17' or [peds_inj_type_2] = '18' or [peds_inj_type_2] = '19' or [peds_inj_type_2] = '20' or [peds_inj_type_2] = '21' or [peds_inj_type_2] = '22' or [peds_inj_type_2] = '23' or [peds_inj_type_2] = '24' or [peds_inj_type_2] = '25' or [peds_inj_type_2] = '26' or [peds_inj_type_2] = '27' or [peds_inj_type_2] = '28' or [peds_inj_type_2] = '29' or [peds_inj_type_2] = '30'",,,,,,
treatment_method_peds_3,demographics,,dropdown,"Treatment Method for [peds_inj_type_3]","1, CRPP | 2, ORPP | 3, ORIF | 4, Rigid IMN | 5, Flexible IMN | 6, CR/splint or cast | 7, Ex-Fix | 8, I&D | 9, Other",,,,,,"[peds_inj_type_3] = '2' or [peds_inj_type_3] = '3' or [peds_inj_type_3] = '4' or [peds_inj_type_3] = '5' or [peds_inj_type_3] = '6' or [peds_inj_type_3] = '7' or [peds_inj_type_3] = '8' or [peds_inj_type_3] = '9' or [peds_inj_type_3] = '10' or [peds_inj_type_3] = '11' or [peds_inj_type_3] = '12' or [peds_inj_type_3] = '13' or [peds_inj_type_3] = '14' or [peds_inj_type_3] = '15' or [peds_inj_type_3] = '16' or [peds_inj_type_3] = '17' or [peds_inj_type_3] = '18' or [peds_inj_type_3] = '19' or [peds_inj_type_3] = '20' or [peds_inj_type_3] = '21' or [peds_inj_type_3] = '22' or [peds_inj_type_3] = '23' or [peds_inj_type_3] = '24' or [peds_inj_type_3] = '25' or [peds_inj_type_3] = '26' or [peds_inj_type_3] = '27' or [peds_inj_type_3] = '28' or [peds_inj_type_3] = '29' or [peds_inj_type_3] = '30'",,,,,,
treatment_method_peds_4,demographics,,dropdown,"Treatment Method for [peds_inj_type_4]","1, CRPP | 2, ORPP | 3, ORIF | 4, Rigid IMN | 5, Flexible IMN | 6, CR/splint or cast | 7, Ex-Fix | 8, I&D | 9, Other",,,,,,"[peds_inj_type_4] = '2' or [peds_inj_type_4] = '3' or [peds_inj_type_4] = '4' or [peds_inj_type_4] = '5' or [peds_inj_type_4] = '6' or [peds_inj_type_4] = '7' or [peds_inj_type_4] = '8' or [peds_inj_type_4] = '9' or [peds_inj_type_4] = '10' or [peds_inj_type_4] = '11' or [peds_inj_type_4] = '12' or [peds_inj_type_4] = '13' or [peds_inj_type_4] = '14' or [peds_inj_type_4] = '15' or [peds_inj_type_4] = '16' or [peds_inj_type_4] = '17' or [peds_inj_type_4] = '18' or [peds_inj_type_4] = '19' or [peds_inj_type_4] = '20' or [peds_inj_type_4] = '21' or [peds_inj_type_4] = '22' or [peds_inj_type_4] = '23' or [peds_inj_type_4] = '24' or [peds_inj_type_4] = '25' or [peds_inj_type_4] = '26' or [peds_inj_type_4] = '27' or [peds_inj_type_4] = '28' or [peds_inj_type_4] = '29' or [peds_inj_type_4] = '30'",,,,,,
treatment_method_peds_5,demographics,,dropdown,"Treatment Method for [peds_inj_type_5]","1, CRPP | 2, ORPP | 3, ORIF | 4, Rigid IMN | 5, Flexible IMN | 6, CR/splint or cast | 7, Ex-Fix | 8, I&D | 9, Other",,,,,,"[peds_inj_type_5] = '2' or [peds_inj_type_5] = '3' or [peds_inj_type_5] = '4' or [peds_inj_type_5] = '5' or [peds_inj_type_5] = '6' or [peds_inj_type_5] = '7' or [peds_inj_type_5] = '8' or [peds_inj_type_5] = '9' or [peds_inj_type_5] = '10' or [peds_inj_type_5] = '11' or [peds_inj_type_5] = '12' or [peds_inj_type_5] = '13' or [peds_inj_type_5] = '14' or [peds_inj_type_5] = '15' or [peds_inj_type_5] = '16' or [peds_inj_type_5] = '17' or [peds_inj_type_5] = '18' or [peds_inj_type_5] = '19' or [peds_inj_type_5] = '20' or [peds_inj_type_5] = '21' or [peds_inj_type_5] = '22' or [peds_inj_type_5] = '23' or [peds_inj_type_5] = '24' or [peds_inj_type_5] = '25' or [peds_inj_type_5] = '26' or [peds_inj_type_5] = '27' or [peds_inj_type_5] = '28' or [peds_inj_type_5] = '29' or [peds_inj_type_5] = '30'",,,,,,
admission_date,demographics,,text,"Date of Admission",,"YYYY-MM-DD (e.g. 2013-08-16)",date_ymd,,,,,,,,,,
injury_date,demographics,,text,"Date of <span style=color:#8E44AD><u>INJURY</span></u>",,,date_ymd,,,,,,,,,,
hd,demographics,,calc,HD,"if ([patient_status] = 0, (rounddown(datediff(""today"",[admission_date],""d""))), 0)","Hospital Days (calculated in days)",,,,,,,,,,,
discharge_date,demographics,,text,"Date of Discharge",,"YYYY-MM-DD (e.g. 2013-08-16)",date_ymd,,,,"[patient_status] = '1'",y,,,,,
three_day,demographics,,calc,"72 Hour Discharge","datediff(""today"",[discharge_date],""d"")",,,,,,,,,,,,
mrn,demographics,,text,"<div class=""rich-text-field-label""><p>MRN</p></div>",,"Required for Billing",orsmrn,,,,,,,,,,
discharge_dispo,demographics,,radio,"Discharge Disposition","0, Home | 1, Rehab | 2, Died | 3, Other | 4, Unknown",,,,,,"[patient_status] = '1'",,LH,,,,
discharge_dispo_other,demographics,,text,"Other (Please specify):",,"Discharge Disposition",,,,,"[discharge_dispo] = '3'",,,,,,
patient_first,demographics,,text,"<div class=""rich-text-field-label""><p>Patient First Name</p></div>",,"Required for Billing",,,,,,,,,,,
patient_last,demographics,,text,"<div class=""rich-text-field-label""><p>Patient Last Name</p></div>",,"Required for Billing",,,,,,,,,,,
gender,demographics,,radio,"<div class=""rich-text-field-label""><p>Gender</p></div>","0, Male | 1, Female","Required for Billing",,,,,,,RH,,,,
dob,demographics,,text,"<div class=""rich-text-field-label""><p>Birthdate</p></div>",,"YYYY-MM-DD (e.g. 1980-06-25); Required for Billing",date_ymd,,,,,,,,,,
age,demographics,,calc,Age,"rounddown(datediff(""today"",[dob],""y""))","(calculated in years)",,,,,,,,,,,
lbj_tha_or_tka,demographics,,checkbox,"<span style=color:#FF0000>Will <span style=color:#00AA00>[patient_last], [patient_first] <span style=color:#FF0000>be having one of the following procedures?</span>","1, Primary THA | 2, Revision THA | 3, Primary TKA | 4, Revision TKA","<span style=color:#CC0000><strong>24 Hour Research Team Contact: (281) 520-7302 </strong>",,,,,"[service_list(8)] = '1'",y,,,,,
room,demographics,,text,"Room #",,,,,,,,,,,,,
enterable_notes2_725,demographics,,text,Service,,"e.g., Hospitalist, PediSurg, Trauma",,,,,,,,,,,
enterable_notes2_698,demographics,,text,Diagnoses,,"e.g., R DR, L femoral neck fx, etc.",,,,,,,,,,,
sp_diagnosis,demographics,,text,"Spine diagnosis  - DO NOT FILL OR EDIT",,"(generated by Data Entry Trigger - hidden from view)",,,,,,,,,,,
readmit_callme,demographics,,descriptive,"<center><span style=color:#FF0000>READMITTED PATIENTS IN A-PREP MUST CALL: <span style=color:#00AA00> Sterling Boutte @ (214) 543-6225</span></center>",,,,,,,"[prep_arm] = '1' or [prep_arm] = '2'",,,,,,
prep_current_arm,demographics,,descriptive,"<center>Current PREP-IT Arm",,,,,,,,,,,,,@HIDDEN
pain_screen,demographics,,radio,"<span style=color:#FF0000>Does <span style=color:#00AA00>[patient_last], [patient_first] <span style=color:#FF0000>have one of the following fractures requiring surgery?</span>","1, Not Applicable | 2, Tibia (Shaft, Pilon, Plateau) | 3, Calcaneus | 4, Talus | 5, Lisfranc | 6, Ankle | 7, Femur","<span style=color:#CC0000><strong>24 Hour Research Team Contact: (281) 520-7302 </strong>",,,,,,y,,,,,@HIDDEN
infection_screen,demographics,,yesno,"<span style=color:#FF0000>Does <span style=color:#00AA00>[patient_last], [patient_first] <span style=color:#FF0000>have an open wound or pelvic fracture requiring surgery?</span>",,"<span style=color:#CC0000><strong>24 Hour Research Team Contact: (281) 520-7302</strong>",,,,,,y,RH,,,,@HIDDEN
pelvic_ring_yn,demographics,,yesno,"<span style=color:#FF0000>Does <span style=color:#00AA00>[patient_last], [patient_first] <span style=color:#FF0000>have a volume-expanding pelvic ring injury requiring surgery?</span>",,"<span style=color:#CC0000><strong>24 Hour Research Team Contact: (281) 520-7302</strong>",,,,,,y,,,,,
pelvic_binder,demographics,,yesno,"Was a pelvic binder or pelvic sheet placed?",,,,,,,"[pelvic_ring_yn] = '1'",y,,,,,
pelvic_binder_pre_hosp,demographics,,radio,"Was the pelvic binder/sheet placed before or after arrival to MHH-TMC?","1, Before arrival | 2, After arrival",,,,,,"[pelvic_binder] = '1'",y,,,,,
pelvic_binder_time,demographics,,text,"What date/time was the pelvic binder/sheet placed?",,,datetime_ymd,,,,"[pelvic_binder] = '1'",y,,,,,
nerve_screen,demographics,,yesno,"<span style=color:#FF0000>Does <span style=color:#00AA00>[patient_last], [patient_first] <span style=color:#FF0000>have a nerve injury to an upper extremity?</span>",,"<span style=color:#CC0000><strong>24 Hour Research Team Contact: (281) 520-7302 </strong>",,,,,,y,RH,,,,@HIDDEN
mechanism,demographics,,checkbox,"Mechanism of Injury","1, All-Terrain Vehicle (ATV) | 13, Assault | 2, Auto-Pedestrian | 3, Blast | 4, Crush | 5, Fall from < 20 Feet (LESS THAN) | 6, Fall from > or = 20 Feet (GREATER THAN) | 7, Gunshot Wound (GSW) | 8, Motorcycle Collision (MCC) | 9, Motor Vehicle Collision (MVC) | 10, Unknown | 12, N/A (Infections, etc.) | 11, Other","<span style=color:#FF0000><strong>Field Required!!!",,,,,,,,,,,
mechanism_other,demographics,,text,"Describe Mechanism of Injury",,,,,,,"[mechanism(11)] = '1'",,,,,,
last_seen_date,demographics,,text,"<span style=color:#0000F0>Date Last Seen By Orthopedic Service:</span>",,,date_ymd,,,,,,RH,,,,
enterable_notes,demographics,,notes,"Enterable Notes",,"e.g., Consulted for L hip disarticulation (XXX on board)",,,,,,,,,,,
research_patient,demographics,,yesno,"Research Patient",,"Has patient consented for IRB approved research?",,,,,,,,,,,
research,demographics,,checkbox,"Select all studies in which the patient is actively enrolled.","31, MDF vs CT Study - Rollins | 13, PREVENT Clot | 15, APREP | 2, FIXIT (METRC) | 4, Oxygen (METRC) | 5, Pain (METRC) | 9, REPAIR (METRC) | 10, Nerve (METRC) | 12, TAOS (METRC) | 14, PRECISE (METRC) | 1, Bioburden (METRC) | 3, OUTLET (METRC) | 11, VANCO (METRC) | 6, STREAM (METRC) | 7, TCCS (METRC) | 8, Other | 16, NERVE | 17, TAOS (METRC) | 18, PROFIT (METRC) | 19, Mobility Toolkit | 20, EMS-BIND (METRC) | 21, CBPT (METRC) | 22, Alter-G (METRC) | 23, PRECISE (METRC) | 24, Elbow Motion | 25, Conventus | 26, CurvaFix | 27, Mobility Toolkit 2.0 (METRC) | 28, Weightbearing (METRC) | 29, TOBRA (METRC) | 30, Nutrition (METRC)",,,,,,"[research_patient] = '1'",,,,,,"@HIDECHOICE='1,2,3,4,5,6,7,14,16,17'"
research_other,demographics,,text,"Research Other",,,,,,,"[research(8)] = '1'",,,,,,
bioburden_id,demographics,,text,"Bioburden ID",,,,,,,,,,,,,@HIDDEN
fixit_id,demographics,,text,"FIXIT ID",,,,,,,,,,,,,@HIDDEN
outlet_id,demographics,,text,"OUTLET ID",,,,,,,,,,,,,@HIDDEN
oxygen_id,demographics,,text,"Oxygen ID",,,,,,,,,,,,,@HIDDEN
pain_id,demographics,,text,"Pain ID",,,,,,,,,,,,,@HIDDEN
stream_id,demographics,,text,"STREAM ID",,,,,,,,,,,,,@HIDDEN
tccs_id,demographics,,text,TCCS_ID,,,,,,,,,,,,,@HIDDEN
repair_id,demographics,,text,"REPAIR ID",,,,,,,,,,,,,@HIDDEN
vanco_id,demographics,,text,"Vanco ID",,,,,,,,,,,,,@HIDDEN
nerve_id,demographics,,text,"Nerve ID",,,,,,,,,,,,,@HIDDEN
taos_id,demographics,,text,"TAOS ID",,,,,,,,,,,,,@HIDDEN
precise_id,demographics,,text,PRECISE,,,,,,,,,,,,,@HIDDEN
other_ids,demographics,,notes,"Other IDs",,,,,,,,,,,,,@HIDDEN
ors_picture1,demographics,,file,"Attach Picture
<span style=color:#FF0000><I>DE-IDENTIFY ALL IMAGES!",,,,,,,,,,,,,
ors_picture2,demographics,,file,"Attach Picture
<span style=color:#FF0000><I>DE-IDENTIFY ALL IMAGES!",,,,,,,,,,,,,
ors_picture3,demographics,,file,"Attach Picture
<span style=color:#FF0000><I>DE-IDENTIFY ALL IMAGES!",,,,,,,,,,,,,
prevent_clot_icon,prevent_clot,,descriptive,<center>,,,,,,,,,,,,,
prevent_clot_header,prevent_clot,,descriptive,"<span style=color:#000FDA>Name</span>: . . . . . . . . . [consultation_arm_1][patient_last], [consultation_arm_1][patient_first]
<span style=color:#000FDA>MRN</span>: . . . . . . . . . . [consultation_arm_1][registry_id]
<span style=color:#000FDA>Gender</span>: . . . . . . . . [consultation_arm_1][gender]
<span style=color:#000FDA>Date of Birth</span>: . . . [consultation_arm_1][dob]
<span style=color:#000FDA>Age</span>: . . . . . . . . . . . [consultation_arm_1][age]
<span style=color:#000FDA>Room #</span>: . . . . . . . .[consultation_arm_1][room]
<span style=color:#000FDA>Surgeon</span>: . . . . . . . [consultation_arm_1][surgeons]
<span style=color:#000FDA>Patient Status</span>: . .[consultation_arm_1][patient_status]",,,,,,,,,,,,,
prevent_clot_id,prevent_clot,,text,"PREVENT Clot ID",,,,,,,,,,,,,
prevent_clot_arm,prevent_clot,,radio,"Randomization Arm","1, Aspirin | 2, Lovenox",,,,,,"[prevent_clot_screen] = '3' and [pc_randomized] = '1'",,LV,,,,
pc_crossover,prevent_clot,,yesno,"Did patient experience cross-over?",,"I.E. Randomized to Aspirin and Received Lovenox",,,,,"[prevent_clot_arm] <> """"",,RH,,,,
prevent_clot_screen,prevent_clot,,dropdown,"PREVENT Clot Screening Progress <font color=#008B8B>(CeTIR)</font>","1, Potential Patient | 2, Screen Fail | 3, Consented | 4, Denied Consent | 5, Screen Fail (Max Capacity Reached)",,autocomplete,,,,,,RH,,,,
pc_cetir_notes,prevent_clot,,notes,"CeTIR Screening Notes",,,,,,,,,LV,,,,
pc_randomized,prevent_clot,"PREVENT Clot Progress  <font color=#D2691E>(Ortho)</font>",radio,"Patient Randomized","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress,,
pc_drug_order,prevent_clot,,radio,"Drug Orders Entered","1, Yes | 2, No | 3, Not Applicable",,,,,,"[pc_randomized] = '1'",,,,ortho_progress,,
pc_sf_complete,prevent_clot,,radio,"Patient Screen Fail Completed","1, Yes | 2, No | 3, Not Applicable",,,,,,"[prevent_clot_screen] = '2' or [prevent_clot_screen] = '4'",,,,ortho_progress,,
pc_discharged,prevent_clot,,radio,"Patient Discharged","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress,,
pc_withdrawn,prevent_clot,,radio,"Patient Withdrawn","1, Yes | 2, No | 3, Not Applicable",,,,,,"[prevent_clot_screen] = '3'",,,,ortho_progress,,
pc_data_entry,prevent_clot,,radio,"Case Report Forms Completed in REDcap (METRC)","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress,,
pc_completed_study,prevent_clot,,radio,"<font color=#FF0000>Patient Completed Study","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress,,
pc_sf_reason,prevent_clot,,checkbox,"Why was patient screen failed?","1, >2 Treatments | 2, Admitted >2 days post injury | 3, No Surgery Planned | 4, Contraindicated Medications at home | 5, Discharged before contact | 6, In another randomized study (Ortho) | 7, In another randomized study (NON-Ortho) | 8, Psych | 9, Unresponsive | 10, Denied Consent | 11, Old Injury | 12, Language (Non-English / Spanish) | 13, Unable to follow up (Indigent) | 14, Holiday or Natural Disaster | 15, Neurological Injury | 16, Already receiving therapeutic dose | 17, Afraid of needles | 100, Other","(Check all that apply)",,,,,,,,,,,
prevent_clot_fu_date,prevent_clot,,text,"PREVENT Clot 3 Month Follow Up Date <font color=#D2691E>(Ortho)</font>

Expected to follow up with:
       [consultation_arm_1][surgeons]",,,date_ymd,,,,"[prevent_clot_screen] = '3'",,RH,,,,
prevent_fu_complete,prevent_clot,,yesno,"3 Month Follow Up Completed?",,,,,,,"[pc_discharged] = '1' and [prevent_clot_fu_date] <> """"",,RH,,,,
prevent_clot_icon_v2,prepit_2,,descriptive,<center>,,,,,,,"[prep_arm] = '1'",,,,,,
prevent_clot_icon_v1,prepit_2,,descriptive,<center>,,,,,,,"[prep_arm] = '2'",,,,,,
prep_header,prepit_2,,descriptive,"<span style=color:#000FDA>Name</span>: . . . . . . . . . [consultation_arm_1][patient_last], [consultation_arm_1][patient_first]
<span style=color:#000FDA>MRN</span>: . . . . . . . . . . [consultation_arm_1][registry_id]
<span style=color:#000FDA>Gender</span>: . . . . . . . . [consultation_arm_1][gender]
<span style=color:#000FDA>Date of Birth</span>: . . . [consultation_arm_1][dob]
<span style=color:#000FDA>Age</span>: . . . . . . . . . . . [consultation_arm_1][age]
<span style=color:#000FDA>Room #</span>: . . . . . . . .[consultation_arm_1][room]
<span style=color:#000FDA>Surgeon</span>: . . . . . . . [consultation_arm_1][surgeons]
<span style=color:#000FDA>Patient Status</span>: . .[consultation_arm_1][patient_status]
<span style=color:#000FDA>Surgical Prep Arm</span>: . . . . . . . . . . . . . . . . . . . . . . .[consultation_arm_1][prep_arm]",,,,,,,,,,,,,
prep_id,prepit_2,,text,"PREP-IT ID Number",,,,,,,,,,,,,
prep_arm,prepit_2,,radio,"Randomization Arm","1, 4% Chlorhexidine (aqueous solution) | 2, 10% Povidone-Iodine (aqueous solution)",,,,,,"[prevent_clot_screen_v1] = '3' and [pc_randomized_v1] = '1'",,LV,,,,
prep_crossover,prepit_2,,yesno,"Did patient experience cross-over?",,"I.E. Randomized to Aspirin and Received Lovenox",,,,,"[prep_arm] <> """"",,RH,,,,
prep_screen,prepit_2,,dropdown,"PREP-IT Screening Progress","1, Potential Patient | 2, Screen Fail | 3, Consented | 4, Denied Consent | 5, Screen Fail (Max Capacity Reached)",,autocomplete,,,,,,RH,,,,
prep_notes,prepit_2,,notes,"Screening Notes",,,,,,,,,LV,,,,
prep_randomized,prepit_2,"PREP-IT Progress  <font color=#D2691E>(Ortho)</font>",radio,"Patient Randomized","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress_v1,,
prep_drug_order,prepit_2,,radio,"Crossover Event","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress_v1,,
prep_sf_complete,prepit_2,,radio,"Patient Screen Fail Completed","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress_v1,,
prep_discharged,prepit_2,,radio,"Patient Discharged","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress_v1,,
prep_withdrawn,prepit_2,,radio,"Patient Withdrawn","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress_v1,,
prep_data_entry,prepit_2,,radio,"Case Report Forms Completed in REDcap (METRC)","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress_v1,,
prep_completed_study,prepit_2,,radio,"<font color=#FF0000>Patient Completed Study","1, Yes | 2, No | 3, Not Applicable",,,,,,,,,,ortho_progress_v1,,
